# HIP Sn So Nc RArad DErad Plx pmRA pmDE e_RArad e_DErad e_Plx e_pmRA e_pmDE Ntr F2 F1 var ic Hpmag e_Hpmag sHp VA B_V e_B_V V_I UW1 UW2 UW3 UW4 UW5 UW6 UW7 UW8 UW9 UW10 UW11 UW12 UW13 UW14 UW15
# taken from HIP2.dat from https://code.google.com/p/pystaratlas/
677 75 4 1 0.0365914186 0.5077307372 33.62 137.46 -163.44 0.27 0.17 0.35 0.38 0.21 91 11.77 0 0.0 0 2.0371 0.0006 0.005 0 -0.038 0.005 -0.1 1.05 -0.02 1.01 -1.87 -0.16 1.02 -0.05 -0.19 -0.98 1.01 -0.3 -1.16 0.59 1.05 1.0
746 5 0 1 0.0400036499 1.0323660584 59.58 523.5 -179.77 0.25 0.26 0.38 0.32 0.31 146 27.31 0 0.0 0 2.3579 0.0017 0.014 1 0.38 0.004 0.4 1.01 1.31 1.02 -0.2 -0.83 1.01 0.88 0.33 0.8 1.0 0.41 1.66 -1.04 0.77 1.0
765 1 2 1 0.0410545044 -0.7984355691 22.62 121.52 -179.83 0.33 0.27 0.45 0.4 0.38 142 -0.06 0 2.2 0 4.0452 0.0004 0.005 0 1.013 0.029 1.0 1.02 -0.01 1.03 -0.37 0.11 1.02 -0.03 0.29 0.09 1.0 0.36 0.51 -0.49 -0.01 1.0
1067 1 1 1 0.0577522202 0.2650040933 8.33 1.98 -9.28 0.44 0.25 0.53 0.55 0.34 134 0.18 0 2.2 0 2.7544 0.0009 0.007 1 -0.19 0.002 -0.22 1.11 -1.66 1.01 0.09 0.0 1.0 0.43 0.17 0.04 1.14 -0.01 -0.33 -0.06 -1.64 1.0
1562 5 0 1 0.0847708677 -0.1540048781 11.88 -15.15 -37.11 0.17 0.1 0.18 0.17 0.1 91 -1.36 0 0.0 0 3.7314 0.0006 0.006 0 1.214 0.003 1.13 1.16 -2.94 1.07 -0.95 -0.99 1.0 2.21 0.21 -0.14 1.02 -0.75 2.75 0.37 -1.86 1.0
1599 5 0 1 0.0874056696 -1.1323281358 116.46 1707.42 1164.3 0.12 0.12 0.16 0.15 0.16 140 -0.32 0 0.0 0 4.3442 0.0006 0.005 0 0.576 0.01 0.65 1.02 0.74 1.03 0.05 1.14 1.0 0.53 -0.86 0.08 1.01 -0.79 0.23 0.13 0.63 1.0
1645 5 0 1 0.0898745824 0.1429467985 8.0 -4.22 9.73 0.23 0.19 0.28 0.23 0.18 88 -0.62 0 0.0 0 5.5386 0.001 0.007 0 1.343 0.004 1.28 1.22 -2.98 1.04 -0.98 -0.42 1.01 0.74 -0.24 0.51 1.19 -0.69 1.51 -0.95 -3.35 1.0
2021 5 0 1 0.1119339317 -1.3483547235 134.07 2219.54 324.09 0.09 0.1 0.11 0.11 0.11 128 -0.36 1 0.0 0 2.9305 0.0003 0.004 0 0.618 0.008 0.68 1.02 -0.17 1.05 -0.61 2.28 1.0 1.04 -1.27 -0.22 1.02 -1.32 1.36 0.13 -1.84 1.0
2072 5 0 1 0.1143275139 -0.7623582379 42.0 106.2 32.15 0.1 0.11 0.15 0.13 0.14 141 -1.08 0 0.0 0 3.9946 0.0006 0.006 0 0.175 0.008 0.2 1.01 0.07 1.03 -0.34 0.84 1.0 -0.07 0.82 -0.36 1.0 0.79 0.88 -0.2 -0.2 1.0
2081 1 1 1 0.1146730467 -0.7383636553 38.5 233.05 -356.3 0.49 0.52 0.73 0.65 0.74 141 0.74 2 3.8 0 2.5512 0.0005 0.004 0 1.083 0.016 1.11 1.01 -0.25 1.07 0.05 0.21 1.0 0.01 -0.11 0.05 1.02 -0.11 0.48 -0.06 -0.26 1.0
2484 5 0 1 0.1376309022 -1.0988258828 24.15 83.64 -54.82 0.16 0.15 0.2 0.19 0.18 145 3.03 0 0.0 0 4.3328 0.0012 0.015 0 -0.064 0.009 -0.02 1.03 0.49 1.02 -0.37 0.26 1.0 0.85 -1.14 -0.05 1.0 -1.18 -0.13 0.03 0.15 1.0
3092 5 0 1 0.1715947657 0.5386300044 30.91 114.45 -84.02 0.13 0.11 0.15 0.18 0.11 109 -1.12 0 0.0 0 3.4328 0.0005 0.004 0 1.268 0.04 1.23 1.23 -5.04 1.15 -0.09 -0.34 1.0 -3.07 2.14 -0.08 1.22 4.21 1.98 -0.65 -5.93 1.0
3179 5 0 1 0.1767427477 0.986763942 14.29 50.88 -32.13 0.08 0.09 0.15 0.11 0.1 233 1.47 2 0.0 0 2.4107 0.0004 0.005 0 1.17 0.0 1.13 1.12 6.23 1.02 -0.74 -0.75 1.03 -0.54 -1.68 0.09 1.13 -1.6 -1.36 -2.51 5.52 1.0
3419 5 0 1 0.1901847668 -0.3139268585 33.86 232.55 31.99 0.13 0.12 0.16 0.18 0.12 114 0.8 1 0.0 0 2.2061 0.0008 0.007 2 1.019 0.021 1.0 1.31 -6.41 1.19 -0.58 1.45 1.02 2.42 0.32 -0.94 1.19 -1.16 4.66 -0.63 -5.62 1.0
3760 5 0 1 0.2107008402 0.1274076356 5.63 110.96 4.52 0.26 0.21 0.33 0.31 0.21 82 -0.96 0 0.0 0 6.0874 0.0008 0.005 0 1.104 0.002 1.07 1.14 -2.31 1.01 0.16 -0.44 1.07 0.31 0.07 -0.68 1.18 -0.1 0.27 -0.93 -2.76 1.0
3881 5 0 1 0.2173538326 0.7169630129 5.28 22.77 -18.35 0.1 0.1 0.15 0.12 0.09 168 -4.67 1 0.0 0 4.4853 0.0004 0.006 0 -0.136 0.004 -0.14 1.25 -3.89 1.23 0.71 -1.13 1.01 4.57 -1.52 0.49 1.0 -3.49 5.38 -0.7 -0.72 1.0
4427 5 0 1 0.2474368608 1.0597071908 5.94 25.17 -3.92 0.07 0.07 0.12 0.08 0.08 187 -2.71 3 0.0 0 2.1379 0.0008 0.009 2 -0.046 0.003 -0.02 1.05 3.56 1.07 -0.95 -2.17 1.01 -0.65 -1.18 -1.06 1.05 -1.24 1.94 -0.69 3.38 1.0
4436 1 2 1 0.2476256935 0.671938763 25.14 153.48 36.49 0.62 0.58 0.86 0.98 0.53 149 0.58 2 3.7 0 3.9034 0.0006 0.006 0 0.13 0.0 0.14 1.15 -0.79 1.35 0.09 -0.15 1.01 0.46 -0.08 0.1 1.02 -0.3 1.79 -0.29 -0.42 1.0
4577 5 0 1 0.2557158849 -0.5123844106 4.2 20.13 5.31 0.13 0.12 0.18 0.2 0.15 85 -1.57 0 0.0 0 4.2628 0.0005 0.005 0 -0.154 0.007 -0.12 1.02 -1.31 1.06 -0.54 1.71 1.03 -0.35 -0.25 0.27 1.07 -0.21 0.2 1.28 -2.18 1.0
4889 5 0 1 0.2740957131 0.5550903905 7.52 14.33 -30.25 0.26 0.14 0.26 0.33 0.16 129 1.51 0 0.0 0 5.4945 0.0006 0.005 0 -0.043 0.003 -0.02 1.06 -1.9 1.04 -0.19 -0.07 1.02 -0.75 -0.3 0.45 1.08 -0.21 2.11 -1.52 -2.92 1.0
4906 5 0 1 0.2746461629 0.1377077463 17.94 -80.17 25.59 0.19 0.17 0.21 0.19 0.14 77 -1.41 0 0.0 0 4.4267 0.0006 0.004 0 0.952 0.029 0.98 1.27 -2.7 1.27 -1.83 -1.03 1.0 1.06 -0.01 0.38 1.1 -0.5 4.83 -0.55 -2.96 1.0
5165 1 2 1 0.2883508108 -0.8153915713 0.12 -80.81 34.97 8.96 8.86 14.62 13.24 9.51 133 0.04 0 68.6 0 3.4646 0.0004 0.004 0 0.885 0.001 0.9 1.05 0.03 1.03 0.0 0.01 1.01 0.0 0.0 0.01 1.01 0.0 0.01 0.0 0.01 1.0
5348 15 3 3 0.2983829537 -0.9642216752 10.92 20.87 30.64 0.3 0.3 0.39 0.36 0.38 134 18.87 0 0.0 0 3.9219 0.0013 0.055 1 -0.12 0.22 -0.08 1.01 0.47 1.01 0.43 0.62 1.01 0.49 -0.37 -0.81 1.0 -0.34 -0.17 -0.47 0.08 1.0
5364 5 0 1 0.2992704213 -0.1777081665 26.32 215.61 -139.02 0.12 0.09 0.14 0.14 0.12 98 -2.5 3 0.0 0 3.6235 0.0005 0.003 0 1.161 0.005 1.11 1.16 -5.12 1.01 -0.28 0.04 1.02 0.18 0.08 -0.22 1.35 -0.02 1.04 1.43 -6.34 1.0
5447 5 0 1 0.3042543513 0.6217007721 16.52 175.9 -112.2 0.51 0.41 0.56 0.6 0.46 63 18.87 0 0.0 0 2.1741 0.003 0.016 2 1.576 0.01 1.74 1.15 -1.63 1.14 -2.15 0.16 1.02 -1.91 0.8 -1.09 1.02 1.42 -3.89 0.16 -1.27 1.0
5742 5 0 1 0.321790363 0.4290676311 7.31 17.5 -22.04 0.26 0.17 0.3 0.36 0.16 118 1.99 0 0.0 0 4.834 0.0006 0.005 0 1.047 0.004 1.02 1.18 -3.76 1.11 -0.59 -1.13 1.01 0.87 -1.22 -0.19 1.13 -2.44 2.33 -0.98 -3.73 1.0
6193 5 0 1 0.3467371309 0.4758480839 10.59 22.98 -11.12 0.28 0.16 0.25 0.31 0.19 56 0.1 3 0.0 0 4.7736 0.0006 0.005 0 0.032 0.007 0.1 1.26 -0.08 1.08 -1.47 0.39 1.07 -1.92 0.96 -0.67 1.0 1.45 -1.22 -1.8 0.32 1.0
6537 5 0 1 0.3666246783 -0.1428159978 28.66 -77.94 -206.53 0.15 0.1 0.19 0.17 0.1 118 0.36 0 0.0 0 3.7757 0.0004 0.003 0 1.065 0.004 1.05 1.08 -3.64 1.11 0.22 1.27 1.05 0.8 -0.76 0.78 1.17 -1.54 -2.65 2.42 -5.99 1.0
6686 5 0 1 0.3744169753 1.0513061203 32.81 296.57 -49.22 0.08 0.08 0.14 0.11 0.08 209 -1.59 1 0.0 0 2.7146 0.0004 0.005 0 0.16 0.002 0.19 1.12 5.08 1.09 -1.0 -0.4 1.02 3.32 2.37 -0.18 1.07 3.59 4.87 -2.0 4.29 1.0
6867 75 4 1 0.3855680843 -0.7560369968 13.96 -18.06 -208.63 0.21 0.23 0.34 0.28 0.28 171 19.53 0 0.0 0 3.5329 0.0041 0.037 1 1.542 0.063 1.73 1.04 1.92 1.05 0.04 1.21 1.01 0.49 -1.44 0.15 1.0 -1.23 1.54 0.81 -0.11 1.0
7007 5 0 1 0.3934948878 0.1072318645 10.73 292.0 -45.95 0.16 0.12 0.19 0.18 0.13 88 -2.19 0 0.0 0 4.9799 0.001 0.007 0 1.372 0.008 1.42 1.09 -2.64 1.02 -0.16 0.4 1.02 1.0 0.33 -0.88 1.1 -0.07 -1.19 1.3 -3.02 1.0
7083 5 0 1 0.3981518924 -0.8564867686 22.95 138.38 153.89 0.13 0.14 0.19 0.19 0.16 125 0.02 0 0.0 0 4.0987 0.0004 0.005 0 0.972 0.038 1.0 1.03 1.25 1.06 -0.06 1.45 1.05 -0.71 -0.78 1.12 1.0 -0.87 -0.17 1.58 -0.06 1.0
7097 15 3 2 0.3991708965 0.2678352776 9.33 27.14 -2.64 0.63 0.43 0.72 0.74 0.47 115 30.87 0 0.0 0 3.7914 0.0004 0.003 0 0.974 0.001 0.94 1.27 -6.19 1.05 -0.63 -0.78 1.03 2.73 -1.46 0.57 1.27 -4.0 3.01 -2.21 -6.12 1.0
7588 1 1 1 0.4263513349 -0.9989681672 23.39 87.0 -38.24 0.45 0.43 0.57 0.58 0.5 121 0.46 0 3.1 0 0.4233 0.0024 0.022 2 -0.158 0.007 -0.17 1.05 0.52 1.04 0.29 0.41 1.05 0.1 -0.25 0.06 1.0 -0.24 0.3 0.64 0.1 1.0
7884 5 0 1 0.4425796899 0.0957767696 8.98 -23.36 3.36 0.2 0.16 0.23 0.26 0.18 70 -0.36 0 0.0 0 4.5914 0.0009 0.005 0 1.347 0.048 1.37 1.11 -2.84 1.01 0.08 -0.01 1.0 0.45 0.12 -0.08 1.18 -0.1 -0.99 0.27 -3.41 1.0
8102 5 0 1 0.4541584879 -0.2781977287 273.96 -1721.05 854.16 0.14 0.13 0.17 0.18 0.15 72 -1.04 1 0.0 0 3.6295 0.0005 0.004 0 0.727 0.007 0.82 1.05 -2.15 1.05 0.08 1.19 1.02 -0.85 0.13 -0.75 1.02 0.4 -1.23 1.11 -1.18 1.0
